,0
0,INDETERMINATE
1,INDETERMINATE
2,INDETERMINATE
3,INDETERMINATE
4,Folk
5,INDETERMINATE
6,INDETERMINATE
7,INDETERMINATE
8,INDETERMINATE
9,INDETERMINATE
10,INDETERMINATE
11,International
12,INDETERMINATE
13,INDETERMINATE
14,Rock
15,Rock
16,International
17,INDETERMINATE
18,INDETERMINATE
19,INDETERMINATE
20,INDETERMINATE
21,INDETERMINATE
22,INDETERMINATE
23,INDETERMINATE
24,INDETERMINATE
25,INDETERMINATE
26,International
27,INDETERMINATE
28,INDETERMINATE
29,INDETERMINATE
30,INDETERMINATE
31,INDETERMINATE
32,INDETERMINATE
33,Rock
34,INDETERMINATE
35,Instrumental
36,Hip-Hop
37,INDETERMINATE
38,INDETERMINATE
39,Electronic
40,INDETERMINATE
41,INDETERMINATE
42,Experimental
43,Rock
44,INDETERMINATE
45,Electronic
46,INDETERMINATE
47,INDETERMINATE
48,INDETERMINATE
49,INDETERMINATE
50,INDETERMINATE
51,INDETERMINATE
52,INDETERMINATE
53,INDETERMINATE
54,Instrumental
55,INDETERMINATE
56,INDETERMINATE
57,INDETERMINATE
58,INDETERMINATE
59,INDETERMINATE
60,INDETERMINATE
61,INDETERMINATE
62,INDETERMINATE
63,INDETERMINATE
64,INDETERMINATE
65,INDETERMINATE
66,INDETERMINATE
67,INDETERMINATE
68,Rock
69,INDETERMINATE
70,Pop
71,International
72,INDETERMINATE
73,INDETERMINATE
74,INDETERMINATE
75,INDETERMINATE
76,INDETERMINATE
77,Rock
78,Folk
79,INDETERMINATE
80,INDETERMINATE
81,INDETERMINATE
82,INDETERMINATE
83,INDETERMINATE
84,INDETERMINATE
85,INDETERMINATE
86,Rock
87,INDETERMINATE
88,INDETERMINATE
89,INDETERMINATE
90,INDETERMINATE
91,INDETERMINATE
92,INDETERMINATE
93,INDETERMINATE
94,INDETERMINATE
95,INDETERMINATE
96,INDETERMINATE
97,INDETERMINATE
98,INDETERMINATE
99,INDETERMINATE
100,INDETERMINATE
101,Folk
102,INDETERMINATE
103,Pop
104,INDETERMINATE
105,INDETERMINATE
106,INDETERMINATE
107,Rock
108,INDETERMINATE
109,INDETERMINATE
110,INDETERMINATE
111,INDETERMINATE
112,INDETERMINATE
113,INDETERMINATE
114,INDETERMINATE
115,INDETERMINATE
116,INDETERMINATE
117,INDETERMINATE
118,INDETERMINATE
119,INDETERMINATE
120,INDETERMINATE
121,INDETERMINATE
122,INDETERMINATE
123,Folk
124,INDETERMINATE
125,INDETERMINATE
126,INDETERMINATE
127,INDETERMINATE
128,Electronic
129,INDETERMINATE
130,INDETERMINATE
131,INDETERMINATE
132,INDETERMINATE
133,INDETERMINATE
134,INDETERMINATE
135,INDETERMINATE
136,INDETERMINATE
137,INDETERMINATE
138,INDETERMINATE
139,INDETERMINATE
140,Hip-Hop
141,INDETERMINATE
142,INDETERMINATE
143,Pop
144,Hip-Hop
145,INDETERMINATE
146,INDETERMINATE
147,INDETERMINATE
148,INDETERMINATE
149,Pop
150,INDETERMINATE
151,INDETERMINATE
152,Experimental
153,INDETERMINATE
154,INDETERMINATE
155,INDETERMINATE
156,INDETERMINATE
157,INDETERMINATE
158,INDETERMINATE
159,INDETERMINATE
160,INDETERMINATE
161,INDETERMINATE
162,INDETERMINATE
163,Folk
164,Folk
165,INDETERMINATE
166,Experimental
167,INDETERMINATE
168,Folk
169,INDETERMINATE
170,INDETERMINATE
171,INDETERMINATE
172,INDETERMINATE
173,INDETERMINATE
174,INDETERMINATE
175,INDETERMINATE
176,INDETERMINATE
177,Hip-Hop
178,INDETERMINATE
179,INDETERMINATE
180,INDETERMINATE
181,INDETERMINATE
182,INDETERMINATE
183,INDETERMINATE
184,INDETERMINATE
185,INDETERMINATE
186,Pop
187,INDETERMINATE
188,INDETERMINATE
189,INDETERMINATE
190,INDETERMINATE
191,INDETERMINATE
192,INDETERMINATE
193,INDETERMINATE
194,INDETERMINATE
195,INDETERMINATE
196,INDETERMINATE
197,INDETERMINATE
198,INDETERMINATE
199,INDETERMINATE
200,INDETERMINATE
201,Pop
202,Electronic
203,INDETERMINATE
204,INDETERMINATE
205,INDETERMINATE
206,INDETERMINATE
207,INDETERMINATE
208,INDETERMINATE
209,Hip-Hop
210,INDETERMINATE
211,INDETERMINATE
212,Rock
213,Electronic
214,INDETERMINATE
215,INDETERMINATE
216,INDETERMINATE
217,INDETERMINATE
218,INDETERMINATE
219,INDETERMINATE
220,Rock
221,INDETERMINATE
222,INDETERMINATE
223,INDETERMINATE
224,INDETERMINATE
225,Electronic
226,INDETERMINATE
227,INDETERMINATE
228,INDETERMINATE
229,Pop
230,INDETERMINATE
231,Hip-Hop
232,INDETERMINATE
233,INDETERMINATE
234,Rock
235,INDETERMINATE
236,INDETERMINATE
237,INDETERMINATE
238,INDETERMINATE
239,INDETERMINATE
240,INDETERMINATE
241,INDETERMINATE
242,INDETERMINATE
243,INDETERMINATE
244,INDETERMINATE
245,INDETERMINATE
246,Electronic
247,INDETERMINATE
248,INDETERMINATE
249,Rock
250,INDETERMINATE
251,INDETERMINATE
252,Experimental
253,INDETERMINATE
254,Hip-Hop
255,INDETERMINATE
256,INDETERMINATE
257,INDETERMINATE
258,INDETERMINATE
259,INDETERMINATE
260,INDETERMINATE
261,INDETERMINATE
262,INDETERMINATE
263,INDETERMINATE
264,INDETERMINATE
265,INDETERMINATE
266,INDETERMINATE
267,INDETERMINATE
268,INDETERMINATE
269,INDETERMINATE
270,INDETERMINATE
271,Experimental
272,INDETERMINATE
273,INDETERMINATE
274,International
275,INDETERMINATE
276,INDETERMINATE
277,INDETERMINATE
278,Hip-Hop
279,INDETERMINATE
280,INDETERMINATE
281,INDETERMINATE
282,INDETERMINATE
283,INDETERMINATE
284,INDETERMINATE
285,INDETERMINATE
286,INDETERMINATE
287,INDETERMINATE
288,INDETERMINATE
289,INDETERMINATE
290,INDETERMINATE
291,INDETERMINATE
292,INDETERMINATE
293,INDETERMINATE
294,INDETERMINATE
295,INDETERMINATE
296,INDETERMINATE
297,INDETERMINATE
298,INDETERMINATE
299,INDETERMINATE
300,Electronic
301,INDETERMINATE
302,INDETERMINATE
303,INDETERMINATE
304,INDETERMINATE
305,Experimental
306,Instrumental
307,INDETERMINATE
308,INDETERMINATE
309,INDETERMINATE
310,INDETERMINATE
311,INDETERMINATE
312,Instrumental
313,INDETERMINATE
314,INDETERMINATE
315,Hip-Hop
316,INDETERMINATE
317,INDETERMINATE
318,INDETERMINATE
319,INDETERMINATE
320,INDETERMINATE
321,INDETERMINATE
322,INDETERMINATE
323,INDETERMINATE
324,INDETERMINATE
325,Electronic
326,INDETERMINATE
327,INDETERMINATE
328,INDETERMINATE
329,INDETERMINATE
330,International
331,INDETERMINATE
332,INDETERMINATE
333,INDETERMINATE
334,INDETERMINATE
335,INDETERMINATE
336,INDETERMINATE
337,INDETERMINATE
338,INDETERMINATE
339,INDETERMINATE
340,INDETERMINATE
341,INDETERMINATE
342,INDETERMINATE
343,INDETERMINATE
344,Electronic
345,INDETERMINATE
346,INDETERMINATE
347,INDETERMINATE
348,INDETERMINATE
349,INDETERMINATE
350,International
351,INDETERMINATE
352,Hip-Hop
353,INDETERMINATE
354,INDETERMINATE
355,Electronic
356,INDETERMINATE
357,INDETERMINATE
358,INDETERMINATE
359,INDETERMINATE
360,INDETERMINATE
361,INDETERMINATE
362,INDETERMINATE
363,Hip-Hop
364,Rock
365,INDETERMINATE
366,INDETERMINATE
367,INDETERMINATE
368,INDETERMINATE
369,INDETERMINATE
370,INDETERMINATE
371,INDETERMINATE
372,INDETERMINATE
373,INDETERMINATE
374,INDETERMINATE
375,Rock
376,INDETERMINATE
377,INDETERMINATE
378,INDETERMINATE
379,INDETERMINATE
380,Experimental
381,INDETERMINATE
382,INDETERMINATE
383,INDETERMINATE
384,INDETERMINATE
385,INDETERMINATE
386,INDETERMINATE
387,INDETERMINATE
388,Rock
389,INDETERMINATE
390,INDETERMINATE
391,INDETERMINATE
